RequestID, FirstFitFragments, BestFitFragments, FirstFitNodesTraversed, BestFitNodesTraversed
0, 0, 0, 1, 1
1, 0, 0, 1, 1
2, 0, 0, 2, 2
3, 0, 0, 4, 4
4, 0, 0, 7, 7
5, 0, 0, 7, 7
6, 0, 0, 7, 7
7, 0, 0, 8, 10
8, 0, 0, 12, 14
9, 0, 0, 17, 19
10, 0, 0, 17, 19
11, 0, 0, 22, 24
12, 0, 0, 28, 30
13, 0, 0, 28, 30
14, 0, 0, 28, 30
15, 0, 0, 29, 35
16, 0, 0, 29, 35
17, 0, 0, 29, 35
18, 0, 0, 30, 39
19, 0, 0, 32, 44
20, 0, 0, 38, 50
21, 0, 0, 38, 50
22, 0, 0, 38, 50
23, 0, 0, 39, 55
24, 0, 0, 39, 55
25, 0, 0, 41, 61
26, 0, 0, 41, 61
27, 0, 0, 41, 61
28, 0, 0, 42, 66
29, 0, 0, 44, 72
30, 0, 0, 51, 79
31, 0, 0, 59, 87
32, 1, 1, 64, 96
33, 1, 1, 64, 96
34, 0, 0, 64, 96
35, 0, 0, 64, 96
36, 0, 0, 67, 103
37, 0, 0, 67, 103
38, 1, 1, 68, 110
39, 2, 2, 74, 118
40, 2, 2, 83, 127
41, 2, 2, 83, 127
42, 2, 2, 88, 137
43, 1, 1, 88, 137
44, 1, 1, 88, 137
45, 1, 1, 88, 137
46, 0, 0, 88, 137
47, 0, 0, 88, 137
48, 0, 0, 92, 141
49, 0, 0, 97, 146
50, 0, 0, 103, 152
51, 0, 0, 110, 159
52, 0, 0, 110, 159
53, 0, 0, 118, 167
54, 0, 0, 118, 167
55, 0, 0, 122, 175
56, 0, 0, 131, 184
57, 0, 0, 131, 184
58, 0, 0, 131, 184
59, 0, 0, 133, 192
60, 0, 0, 138, 201
61, 0, 0, 141, 211
62, 0, 0, 141, 211
63, 0, 0, 151, 221
64, 0, 0, 151, 221
65, 0, 0, 161, 231
66, 0, 0, 161, 231
67, 0, 0, 161, 231
68, 0, 0, 161, 231
69, 0, 0, 162, 239
70, 0, 0, 162, 239
71, 0, 0, 167, 247
72, 0, 0, 167, 247
73, 0, 0, 169, 255
74, 0, 0, 178, 264
75, 0, 0, 181, 274
76, 0, 0, 192, 285
77, 0, 0, 192, 285
78, 0, 0, 192, 285
79, 0, 0, 192, 285
80, 0, 0, 193, 295
81, 0, 0, 201, 305
82, 1, 0, 212, 316
83, 2, 0, 214, 328
84, 2, 0, 214, 328
85, 2, 1, 219, 341
86, 2, 2, 234, 355
87, 1, 2, 234, 355
88, 1, 2, 234, 355
89, 1, 1, 234, 355
90, 1, 1, 242, 367
91, 1, 1, 242, 367
92, 1, 1, 242, 367
93, 1, 1, 248, 377
94, 1, 1, 249, 388
95, 1, 1, 258, 400
96, 1, 1, 265, 413
97, 1, 1, 265, 413
98, 1, 0, 265, 413
99, 1, 0, 265, 413
100, 1, 1, 278, 425
101, 2, 1, 286, 438
102, 2, 1, 301, 452
103, 2, 1, 306, 467
104, 2, 1, 322, 482
105, 2, 2, 334, 498
106, 2, 1, 334, 498
107, 2, 1, 347, 514
108, 2, 1, 347, 514
109, 1, 1, 347, 514
110, 1, 1, 348, 531
111, 2, 1, 357, 548
112, 2, 1, 357, 548
113, 2, 1, 375, 565
114, 1, 1, 375, 565
115, 1, 1, 378, 581
116, 0, 1, 378, 581
117, 0, 1, 378, 581
118, 1, 1, 382, 597
119, 1, 1, 382, 597
120, 1, 1, 382, 597
121, 2, 1, 390, 612
122, 2, 1, 401, 628
123, 2, 1, 413, 645
124, 2, 1, 433, 662
125, 2, 1, 433, 662
126, 2, 1, 433, 662
127, 3, 1, 445, 680
128, 2, 1, 445, 680
129, 2, 1, 445, 680
130, 1, 1, 445, 680
131, 1, 1, 450, 698
132, 1, 0, 450, 698
133, 1, 1, 458, 716
134, 1, 1, 458, 716
135, 1, 1, 471, 734
136, 2, 1, 474, 753
137, 3, 2, 482, 772
138, 2, 1, 482, 772
139, 2, 1, 482, 772
140, 3, 2, 491, 791
141, 4, 3, 507, 811
142, 4, 3, 526, 832
143, 4, 3, 526, 832
144, 4, 3, 545, 853
145, 4, 3, 545, 853
146, 4, 3, 564, 874
147, 4, 4, 584, 896
148, 4, 4, 607, 919
149, 4, 4, 607, 919
150, 4, 3, 607, 919
151, 4, 3, 607, 919
152, 3, 2, 607, 919
153, 2, 2, 607, 919
154, 2, 2, 607, 919
155, 2, 2, 607, 919
156, 2, 3, 608, 936
157, 3, 3, 616, 954
158, 2, 3, 616, 954
159, 3, 3, 624, 972
160, 3, 3, 638, 991
161, 2, 2, 638, 991
162, 3, 2, 653, 1010
163, 3, 2, 653, 1010
164, 4, 2, 662, 1029
165, 4, 2, 681, 1048
166, 3, 1, 681, 1048
167, 3, 1, 681, 1048
168, 3, 1, 694, 1066
169, 3, 1, 697, 1084
170, 3, 1, 697, 1084
171, 4, 2, 702, 1101
172, 4, 2, 721, 1119
173, 2, 1, 721, 1119
174, 2, 1, 721, 1119
175, 2, 1, 721, 1119
176, 2, 1, 721, 1119
177, 3, 1, 722, 1137
178, 3, 2, 731, 1155
179, 3, 2, 741, 1174
180, 4, 2, 752, 1193
181, 4, 3, 773, 1212
182, 4, 3, 795, 1232
183, 4, 3, 795, 1253
184, 4, 3, 818, 1253
185, 5, 3, 833, 1275
186, 5, 3, 833, 1275
187, 4, 3, 833, 1275
188, 3, 3, 833, 1275
189, 4, 3, 834, 1297
