RequestID, FirstFitFragments, BestFitFragments, FirstFitNodesTraversed, BestFitNodesTraversed
0, 0, 0, 1, 1
1, 0, 0, 3, 3
2, 0, 0, 3, 3
3, 0, 0, 4, 6
4, 0, 0, 4, 6
5, 0, 0, 7, 9
6, 0, 0, 7, 9
7, 0, 0, 7, 9
8, 0, 0, 8, 10
9, 0, 0, 10, 12
10, 0, 0, 10, 12
11, 1, 1, 11, 15
12, 0, 0, 11, 15
13, 0, 0, 11, 15
14, 0, 0, 12, 16
15, 0, 0, 12, 16
16, 0, 0, 13, 17
17, 0, 0, 13, 17
18, 0, 0, 14, 18
19, 0, 0, 16, 20
20, 0, 0, 19, 23
21, 0, 0, 23, 27
22, 0, 0, 23, 27
23, 0, 0, 28, 32
24, 0, 0, 28, 32
25, 0, 0, 29, 37
26, 0, 0, 29, 37
27, 0, 0, 29, 37
28, 0, 0, 29, 37
29, 0, 0, 30, 40
30, 0, 0, 32, 44
31, 0, 0, 32, 44
32, 0, 0, 32, 44
33, 0, 0, 33, 47
34, 0, 0, 36, 50
35, 0, 0, 36, 50
36, 0, 0, 39, 53
37, 0, 0, 43, 57
38, 0, 0, 48, 62
39, 0, 0, 48, 62
40, 1, 1, 51, 68
41, 1, 1, 51, 68
42, 1, 1, 51, 68
43, 1, 1, 53, 74
44, 1, 1, 60, 81
45, 1, 1, 63, 89
46, 0, 0, 63, 89
47, 0, 0, 67, 96
48, 0, 0, 72, 104
49, 0, 0, 80, 112
50, 0, 0, 80, 112
51, 0, 0, 86, 121
52, 0, 0, 86, 121
53, 0, 0, 95, 130
54, 1, 1, 101, 140
55, 1, 1, 101, 140
56, 1, 1, 112, 151
57, 0, 0, 112, 151
58, 0, 0, 112, 151
59, 0, 0, 123, 162
60, 0, 0, 123, 162
61, 0, 0, 123, 162
62, 0, 0, 123, 162
63, 0, 0, 123, 162
64, 0, 0, 126, 169
65, 0, 0, 130, 177
66, 0, 0, 130, 177
67, 0, 0, 130, 177
68, 0, 0, 130, 177
69, 0, 0, 130, 177
70, 1, 1, 131, 181
71, 1, 1, 131, 181
72, 1, 1, 135, 185
73, 1, 1, 135, 185
74, 1, 1, 139, 189
75, 1, 1, 144, 194
76, 1, 1, 144, 194
77, 1, 1, 149, 199
78, 1, 1, 155, 205
79, 1, 1, 162, 212
80, 1, 1, 162, 212
81, 1, 1, 170, 220
82, 1, 1, 174, 229
83, 1, 1, 184, 239
84, 1, 1, 195, 250
85, 1, 1, 207, 262
86, 1, 1, 220, 275
87, 0, 0, 220, 275
88, 0, 0, 221, 288
89, 0, 0, 221, 288
90, 0, 0, 225, 300
91, 0, 0, 230, 313
92, 0, 0, 243, 326
93, 0, 0, 243, 326
94, 0, 0, 243, 326
95, 0, 0, 256, 339
96, 0, 0, 256, 339
97, 0, 0, 260, 352
98, 0, 0, 260, 352
99, 0, 0, 273, 365
100, 0, 0, 273, 365
101, 0, 0, 287, 379
102, 0, 0, 302, 394
103, 0, 0, 318, 410
104, 0, 0, 323, 427
105, 0, 0, 323, 427
106, 0, 0, 323, 427
107, 0, 0, 323, 427
108, 0, 0, 332, 444
109, 0, 0, 333, 461
110, 0, 0, 348, 478
111, 1, 0, 364, 496
112, 1, 0, 364, 496
113, 1, 0, 364, 496
114, 0, 0, 364, 496
115, 0, 0, 381, 513
116, 0, 0, 383, 531
117, 0, 0, 401, 549
118, 0, 0, 401, 549
119, 0, 0, 401, 549
120, 0, 1, 407, 567
121, 0, 1, 407, 567
122, 0, 1, 407, 567
123, 1, 1, 414, 584
124, 1, 0, 414, 584
125, 1, 0, 414, 584
126, 1, 0, 426, 601
127, 1, 0, 442, 619
128, 1, 0, 443, 638
129, 1, 0, 463, 657
130, 2, 1, 466, 677
131, 2, 1, 466, 677
132, 3, 1, 468, 698
133, 3, 2, 483, 719
134, 3, 2, 483, 719
135, 3, 2, 483, 719
136, 2, 2, 483, 719
137, 2, 2, 492, 740
138, 2, 2, 492, 740
139, 2, 2, 493, 762
140, 2, 2, 505, 784
141, 2, 2, 505, 784
142, 2, 2, 505, 784
143, 2, 2, 526, 806
144, 1, 2, 526, 806
145, 1, 2, 526, 806
146, 1, 2, 545, 827
147, 1, 2, 545, 827
148, 1, 2, 547, 848
149, 1, 2, 547, 848
150, 1, 3, 550, 868
151, 1, 3, 550, 868
152, 1, 3, 567, 889
153, 1, 3, 567, 889
154, 1, 3, 569, 911
155, 1, 3, 591, 933
156, 1, 3, 591, 933
157, 1, 3, 613, 955
158, 2, 3, 636, 978
159, 2, 3, 636, 978
160, 2, 3, 636, 978
161, 2, 3, 652, 1000
162, 2, 3, 652, 1000
163, 2, 3, 652, 1000
164, 2, 3, 659, 1022
165, 2, 4, 671, 1045
166, 2, 5, 684, 1069
167, 2, 5, 684, 1069
168, 3, 6, 691, 1093
169, 3, 5, 691, 1093
170, 4, 5, 701, 1117
171, 4, 5, 701, 1142
172, 4, 5, 714, 1167
173, 4, 5, 728, 1192
174, 4, 5, 728, 1192
175, 4, 4, 728, 1192
176, 4, 4, 742, 1216
177, 4, 4, 757, 1241
178, 5, 4, 781, 1241
179, 5, 4, 781, 1241
180, 5, 4, 781, 1241
181, 5, 4, 781, 1241
182, 5, 4, 781, 1241
183, 5, 4, 782, 1267
184, 5, 5, 801, 1293
185, 4, 4, 801, 1293
186, 4, 4, 801, 1293
187, 4, 4, 801, 1293
188, 4, 4, 806, 1319
189, 5, 5, 828, 1345
190, 5, 4, 828, 1345
191, 4, 3, 828, 1345
192, 5, 4, 850, 1370
193, 4, 3, 850, 1370
194, 4, 2, 850, 1370
195, 4, 2, 850, 1370
196, 4, 2, 856, 1394
197, 3, 1, 856, 1394
198, 3, 1, 856, 1394
199, 3, 2, 870, 1417
200, 3, 3, 887, 1441
201, 3, 4, 907, 1466
202, 3, 4, 907, 1466
203, 3, 4, 925, 1492
204, 3, 4, 925, 1492
205, 3, 4, 925, 1492
206, 3, 5, 925, 1517
207, 3, 4, 925, 1517
208, 4, 4, 941, 1542
209, 4, 4, 941, 1542
210, 4, 4, 943, 1566
211, 5, 4, 955, 1590
212, 5, 4, 955, 1590
213, 5, 4, 955, 1590
214, 5, 3, 955, 1590
215, 5, 3, 955, 1614
216, 5, 3, 955, 1614
217, 5, 3, 955, 1638
218, 5, 3, 955, 1638
219, 5, 3, 955, 1638
220, 3, 3, 955, 1638
221, 3, 3, 955, 1638
222, 2, 3, 955, 1638
223, 3, 3, 967, 1660
224, 3, 3, 967, 1660
225, 3, 3, 967, 1660
226, 4, 3, 982, 1682
227, 2, 3, 982, 1682
228, 2, 3, 986, 1704
229, 2, 3, 986, 1704
230, 2, 3, 1002, 1727
231, 1, 3, 1002, 1727
232, 1, 3, 1002, 1727
233, 2, 3, 1011, 1750
234, 2, 4, 1034, 1773
235, 2, 4, 1034, 1797
236, 1, 3, 1034, 1797
237, 1, 3, 1046, 1821
238, 0, 3, 1046, 1821
239, 0, 3, 1046, 1846
240, 0, 3, 1046, 1846
241, 1, 3, 1056, 1872
242, 1, 3, 1056, 1872
243, 1, 3, 1056, 1872
244, 1, 3, 1060, 1898
245, 1, 3, 1060, 1898
246, 1, 3, 1060, 1898
247, 1, 2, 1060, 1898
248, 1, 2, 1060, 1898
249, 1, 3, 1082, 1921
250, 1, 2, 1082, 1921
251, 1, 2, 1082, 1921
252, 1, 2, 1082, 1921
253, 1, 3, 1088, 1944
254, 2, 4, 1105, 1968
255, 2, 4, 1113, 1993
256, 1, 3, 1113, 1993
257, 1, 4, 1124, 2017
258, 2, 5, 1145, 2042
259, 3, 5, 1157, 2068
260, 2, 4, 1157, 2068
261, 3, 4, 1177, 2094
262, 3, 3, 1177, 2094
263, 3, 3, 1179, 2120
264, 4, 4, 1189, 2146
265, 4, 4, 1189, 2146
266, 4, 4, 1189, 2146
267, 5, 4, 1190, 2172
268, 5, 4, 1215, 2172
269, 5, 4, 1215, 2172
270, 5, 5, 1241, 2199
271, 5, 5, 1268, 2199
272, 5, 5, 1268, 2199
273, 6, 5, 1296, 2199
274, 6, 5, 1296, 2227
275, 6, 5, 1296, 2227
276, 6, 5, 1296, 2227
277, 6, 5, 1296, 2227
278, 6, 4, 1296, 2227
279, 5, 4, 1296, 2227
280, 4, 4, 1296, 2227
281, 4, 4, 1296, 2227
282, 4, 4, 1296, 2227
283, 4, 4, 1310, 2253
284, 4, 4, 1325, 2279
285, 4, 4, 1343, 2305
286, 4, 3, 1343, 2305
287, 4, 4, 1366, 2331
288, 4, 4, 1366, 2331
289, 5, 4, 1371, 2358
290, 5, 4, 1371, 2358
291, 5, 4, 1385, 2385
292, 6, 4, 1410, 2385
293, 6, 4, 1410, 2385
294, 6, 4, 1410, 2385
295, 6, 4, 1410, 2385
296, 6, 4, 1410, 2385
297, 6, 4, 1410, 2385
298, 5, 4, 1410, 2385
299, 5, 5, 1411, 2413
300, 5, 4, 1411, 2413
301, 5, 4, 1435, 2441
302, 5, 4, 1435, 2441
303, 5, 5, 1464, 2470
304, 5, 5, 1464, 2470
305, 5, 5, 1464, 2470
306, 5, 5, 1464, 2470
307, 5, 5, 1464, 2470
308, 5, 5, 1464, 2470
309, 5, 5, 1473, 2470
310, 4, 5, 1473, 2470
311, 4, 5, 1473, 2470
312, 4, 5, 1473, 2470
313, 4, 5, 1473, 2470
314, 4, 5, 1473, 2470
315, 3, 5, 1473, 2470
316, 3, 5, 1473, 2497
317, 3, 5, 1473, 2497
318, 3, 5, 1475, 2525
319, 3, 4, 1475, 2525
320, 3, 4, 1475, 2525
321, 3, 4, 1480, 2551
322, 3, 4, 1480, 2578
323, 3, 4, 1480, 2578
324, 2, 3, 1480, 2578
325, 2, 3, 1480, 2578
326, 3, 3, 1489, 2604
327, 3, 3, 1503, 2630
328, 3, 4, 1503, 2656
329, 3, 4, 1503, 2656
330, 3, 4, 1522, 2683
331, 3, 4, 1522, 2683
332, 3, 4, 1522, 2683
333, 3, 4, 1522, 2683
334, 3, 4, 1522, 2683
335, 3, 4, 1522, 2683
336, 3, 4, 1522, 2683
337, 3, 4, 1522, 2683
338, 3, 4, 1528, 2710
339, 2, 4, 1528, 2710
340, 3, 5, 1547, 2737
341, 3, 5, 1570, 2737
342, 3, 5, 1586, 2737
343, 3, 5, 1586, 2737
344, 3, 5, 1586, 2737
345, 3, 5, 1586, 2737
346, 3, 4, 1586, 2737
347, 3, 3, 1586, 2737
348, 3, 3, 1586, 2737
349, 3, 3, 1586, 2737
350, 3, 3, 1586, 2737
351, 3, 4, 1586, 2763
352, 3, 4, 1586, 2763
353, 3, 5, 1593, 2790
354, 3, 5, 1593, 2790
355, 4, 6, 1605, 2818
356, 4, 6, 1605, 2818
357, 4, 6, 1605, 2818
358, 4, 5, 1605, 2818
359, 4, 5, 1605, 2818
360, 4, 5, 1605, 2846
361, 4, 5, 1605, 2846
362, 4, 5, 1605, 2846
363, 4, 5, 1605, 2846
364, 4, 5, 1605, 2846
365, 3, 5, 1605, 2846
366, 3, 5, 1605, 2846
367, 3, 5, 1605, 2846
368, 3, 4, 1605, 2846
369, 3, 4, 1633, 2874
370, 3, 3, 1633, 2874
371, 3, 2, 1633, 2874
372, 4, 2, 1638, 2874
373, 5, 2, 1639, 2900
374, 5, 2, 1639, 2927
375, 5, 2, 1639, 2927
376, 5, 2, 1639, 2927
377, 5, 2, 1639, 2927
378, 6, 3, 1665, 2954
379, 6, 3, 1665, 2954
